No,date, house age,Sq feets,distand to public domin,number of registrations done,latitude,longitude,Y house price of unit area,totsl cost
1,2022.06.01,32,3214,84.87882,10,24.98298,121.54024,33,8.75E+12
2,2022.06.02,19.5,3214,306.5947,9,24.98034,121.53951,42.2,2.22E+13
3,2022.06.03,13.3,3214,561.9845,5,24.98746,121.54391,47.3,1.73E+13
4,2022.06.04,13.3,4957,561.9845,5,24.98746,121.54391,54.8,3.08E+13
5,2022.06.05,5,4999,390.5684,5,24.97937,121.54245,43.1,6.39E+12
6,2022.06.06,7.1,5000,2175.03,3,24.96305,121.51254,32.1,2.26E+13
7,2022.06.07,34.5,5001,623.4731,7,24.97933,121.53642,40.3,9.21E+13
8,2022.06.08,20.3,5002,287.6025,6,24.98042,121.54228,46.7,2.48E+13
9,2022.06.09,31.7,5003,5512.038,1,24.95095,121.48458,18.8,4.98E+13
10,2022.06.10,17.9,5004,1783.18,3,24.96731,121.51486,22.1,3.21E+13
11,2022.06.11,34.8,5005,405.2134,1,24.97349,121.53372,41.4,8.87E+12
12,2022.06.12,6.3,5006,90.45606,9,24.97433,121.5431,58.1,4.53E+12
13,2022.06.13,13,5007,492.2313,5,24.96515,121.53737,39.3,1.91E+13
14,2022.06.14,20.4,5008,2469.645,4,24.96108,121.51046,23.8,7.29E+13
15,2022.06.15,13.2,5009,1164.838,4,24.99156,121.53406,34.3,3.21E+13
16,2022.06.16,35.7,5010,579.2083,2,24.9824,121.54619,50.5,3.18E+13
17,2022.06.17,40,5011,292.9978,6,24.97744,121.54458,70.1,3.18E+13
18,2022.06.18,17.7,5012,350.8515,1,24.97544,121.53119,37.4,3.53E+12
19,2022.06.19,16.9,5013,368.1363,8,24.9675,121.54451,42.3,3.20E+13
20,2022.06.20,1.5,5014,23.38284,7,24.96772,121.54102,47.7,1.78E+11
21,2022.06.21,4.5,5015,2275.877,3,24.96314,121.51151,29.3,1.37E+13
22,2022.06.22,10.5,5016,279.1726,7,24.97528,121.54541,51.6,1.61E+13
23,2022.06.23,14.7,5017,1360.139,1,24.95204,121.54842,24.6,7.48E+12
24,2022.06.24,10.1,5018,279.1726,7,24.97528,121.54541,47.9,1.44E+13
25,2022.06.25,39.6,5019,480.6977,4,24.97353,121.53885,38.8,4.50E+13
26,2022.06.26,29.3,5020,1487.868,2,24.97542,121.51726,27,3.59E+13
27,2022.06.27,3.1,5021,383.8624,5,24.98085,121.54391,56.2,5.10E+12
28,2022.06.28,10.4,5022,276.449,5,24.95593,121.53913,33.6,7.36E+12
29,2022.06.29,19.2,5023,557.478,4,24.97419,121.53797,47,3.07E+13
30,2022.06.30,7.1,5024,451.2438,5,24.97563,121.54694,57.1,1.40E+13
31,2022.07.1,25.9,5025,4519.69,5,24.94826,121.49587,22.1,1.40E+13
32,2022.07.2,29.6,5026,769.4034,7,24.98281,121.53408,25,6.08E+13
33,2022.07.3,37.9,5027,488.5727,1,24.97349,121.53451,34.2,9.66E+12
34,2022.07.4,16.5,5028,323.655,6,24.97841,121.54281,49.3,2.41E+13
35,2022.07.5,15.4,5029,205.367,7,24.98419,121.54243,55.1,1.86E+13
36,2022.07.6,13.9,5030,4079.418,0,25.01459,121.51816,27.3,0
37,2022.07.7,14.7,5031,1935.009,2,24.96386,121.51458,22.9,1.99E+13
38,2022.07.8,12,5032,1360.139,1,24.95204,121.54842,25.3,6.30E+12
39,2022.07.9,3.1,5033,577.9615,6,24.97201,121.54722,47.7,7.83E+12
40,2022.07.10,16.2,5034,289.3248,5,24.98203,121.54348,46.2,1.65E+13
41,2022.07.11,13.6,5035,4082.015,0,24.94155,121.50381,15.9,0
42,2022.07.12,16.8,5036,4066.587,0,24.94297,121.50342,18.2,0
43,2022.07.13,36.1,5037,519.4617,5,24.96305,121.53758,34.7,4.97E+13
44,2022.07.14,34.4,5038,512.7871,6,24.98748,121.54301,34.1,5.52E+13
45,2022.07.15,2.7,5039,533.4762,4,24.97445,121.54765,53.9,4.75E+12
46,2022.07.16,36.6,5040,488.8193,8,24.97015,121.54494,38.3,8.39E+13
47,2022.07.17,21.7,5041,463.9623,9,24.9703,121.54458,42,5.82E+13
48,2022.07.18,35.9,5042,640.7391,3,24.97563,121.53715,61.5,6.50E+13
49,2022.07.19,24.2,5043,4605.749,0,24.94684,121.49578,13.4,0
50,2022.07.20,29.4,5044,4510.359,1,24.94925,121.49542,13.2,2.68E+13
51,2022.07.21,21.7,5045,512.5487,4,24.974,121.53842,44.2,3.01E+13
52,2022.07.22,31.3,5046,1758.406,1,24.95402,121.55282,20.7,1.74E+13
53,2022.07.23,32.1,5047,1438.579,3,24.97419,121.5175,27,5.73E+13
54,2022.07.24,13.3,5048,492.2313,5,24.96515,121.53737,38.9,1.95E+13
55,2022.07.25,16.1,5049,289.3248,5,24.98203,121.54348,51.7,1.85E+13
56,2022.07.26,31.7,5050,1160.632,0,24.94968,121.53009,13.7,0
57,2022.07.27,33.6,5051,371.2495,8,24.97254,121.54059,41.9,6.41E+13
58,2022.07.28,3.5,5052,56.47425,7,24.95744,121.53711,53.5,1.13E+12
59,2022.07.29,30.3,5053,4510.359,1,24.94925,121.49542,22.6,4.73E+13
60,2022.07.30,13.3,5054,336.0532,5,24.95776,121.53438,42.4,1.45E+13
61,2022.07.31,11,5055,1931.207,2,24.96365,121.51471,21.3,1.39E+13
62,2022.08.01,5.3,5056,259.6607,6,24.97585,121.54516,63.2,8.01E+12
63,2022.08.02,17.2,5057,2175.877,3,24.96303,121.51254,27.7,4.77E+13
64,2022.08.03,2.6,5058,533.4762,4,24.97445,121.54765,55,4.69E+12
65,2022.08.04,17.5,5059,995.7554,0,24.96305,121.54915,25.3,0
66,2022.08.05,40.1,5060,123.7429,8,24.97635,121.54329,44.3,2.70E+13
67,2022.08.06,1,5061,193.5845,6,24.96571,121.54089,50.7,9.04E+11
68,2022.08.07,8.5,5062,104.8101,5,24.96674,121.54067,56.8,3.89E+12
69,2022.08.08,30.4,5063,464.223,6,24.97964,121.53805,36.2,4.71E+13
70,2022.08.09,12.5,5064,561.9845,5,24.98746,121.54391,42,2.27E+13
71,2022.08.10,6.6,5065,90.45606,9,24.97433,121.5431,59,4.87E+12
72,2022.08.11,35.5,5066,640.7391,3,24.97563,121.53715,40.8,4.28E+13
73,2022.08.12,32.5,5067,424.5442,8,24.97587,121.53913,36.3,6.16E+13
74,2022.08.13,13.8,5068,4082.015,0,24.94155,121.50381,20,0
75,2022.08.14,6.8,5069,379.5575,10,24.98343,121.53762,54.4,2.16E+13
76,2022.08.15,12.3,5070,1360.139,1,24.95204,121.54842,29.5,7.59E+12
77,2022.08.16,35.9,5071,616.4004,3,24.97723,121.53767,36.8,3.76E+13
78,2022.08.17,20.5,5072,2185.128,3,24.96322,121.51237,25.6,5.29E+13
79,2022.08.18,38.2,5073,552.4371,2,24.97598,121.53381,29.8,1.94E+13
80,2022.08.19,18,5074,1414.837,1,24.95182,121.54887,26.5,1.04E+13
81,2022.08.20,11.8,5075,533.4762,4,24.97445,121.54765,40.3,1.56E+13
82,2022.08.21,30.8,5076,377.7956,6,24.96427,121.53964,36.8,3.96E+13
